Customer_ID,Customer_Name,Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Country,City,State,Region,Product ID,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Profit margin,Discount amt,salesper unit,Profit margin
CG-12520,Claire Gute,CA-2016-152156,08-Nov-16,11-Nov-16,Second Class,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,No profit,0,130.98,16
CG-12520,Claire Gute,CA-2016-152156,08-Nov-16,11-Nov-16,Second Class,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,No profit,0,243.98,30
DV-13045,Darrin Van Huff,CA-2016-138688,12-Jun-16,16-Jun-16,Second Class,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,No profit,0,7.31,47
SO-20335,Sean O'Donnell,US-2015-108966,11-Oct-15,18-Oct-15,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,-85118,430.909875,191.5155,-40
SO-20335,Sean O'Donnell,US-2015-108966,11-Oct-15,18-Oct-15,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,1258.2,4.4736,11.184,11.25
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,No profit,0,6.98,29
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,No profit,0,1.82,27
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,45357.6,181.4304,151.192,10
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2891.25,3.7008,6.168,31.25
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,No profit,0,22.98,30
